,Fiscal year,All R&D expenditures,Federal government,State and local government,Business,Nonprofit organizations,All other sourcesa,Year,Total All R&D Expenditures,Total Basic Research Amount,Total Basic Research Percent,Total Applied Research Amount,Total Applied Research Percent,Total Experimental Development Amount,Total Experimental Development Percent,Federally Financed R&D Expenditures,Federally Financed Basic Research Amount,Federally Financed Basic Research Percent,Federally Financed Applied Research Amount,Federally Financed Applied Research Percent,Federally Financed Experimental Development Amount,Federally Financed Experimental Development Percent,CVE Count
0,2001.0,10071307.0,9709221.0,19389.0,144043.0,na,198654.0,2001,10071.0,3875.0,38.5,na,na,na,na,9709.0,3726.0,38.4,na,na,na,na,14.0
1,2002.0,11536424.0,11095110.0,31423.0,134251.0,na,275640.0,2002,11536.0,4744.0,41.1,na,na,na,na,11095.0,4523.0,40.8,na,na,na,na,21.0
2,2003.0,12126880.0,11681318.0,33301.0,138685.0,na,273576.0,2003,12127.0,5122.0,42.2,na,na,na,na,11681.0,4880.0,41.8,na,na,na,na,28.0
3,2004.0,12632207.0,12321652.0,29959.0,119843.0,na,160753.0,2004,12632.0,4931.0,39.0,na,na,na,na,12322.0,4790.0,38.9,na,na,na,na,78.0
4,2005.0,13254522.0,12917206.0,32339.0,129036.0,na,175941.0,2005,13255.0,5110.0,38.5,na,na,na,na,12917.0,4977.0,38.5,na,na,na,na,51.0
5,2006.0,13218497.0,12824552.0,30122.0,170879.0,na,192944.0,2006,13218.0,5197.0,39.3,na,na,na,na,12825.0,5048.0,39.4,na,na,na,na,80.0
6,2007.0,13824987.0,13401081.0,32072.0,172592.0,na,219242.0,2007a,13825.0,5296.0,38.3,3479,25.2,4411,31.9,13401.0,5151.0,38.4,3314,24.7,4319,32.2,32.0
7,2008.0,15616390.0,15177347.0,32188.0,202534.0,na,204321.0,2008,15616.0,5379.0,34.4,3992,25.6,6245,40,15177.0,5210.0,34.3,3825,25.2,6143,40.5,46.0
8,2009.0,16390111.0,15942851.0,35442.0,189721.0,na,222097.0,2009,16390.0,5871.0,35.8,4545,27.7,5974,36.4,15943.0,5714.0,35.8,4346,27.3,5884,36.9,28.0
9,2010.0,18880609.0,18453552.0,52871.0,168561.0,23665,181960.0,2010,18881.0,6655.0,35.2,5191,27.5,7034,37.3,18454.0,6487.0,35.2,5031,27.3,6935,37.6,22.0
10,2011.0,18671245.0,18276088.0,26744.0,190111.0,38878,139424.0,2011,18671.0,6582.0,35.3,5175,27.7,6914,37,18276.0,6439.0,35.2,5006,27.4,6830,37.4,63.0
11,2012.0,18280943.0,17875012.0,39428.0,184434.0,45926,136143.0,2012,18281.0,6153.0,33.7,5382,29.4,6746,36.9,17875.0,6013.0,33.6,5209,29.1,6653,37.2,137.0
12,2013.0,17667184.0,17284513.0,50449.0,186911.0,39390,105921.0,2013,17667.0,4186.0,23.7,6818,38.6,6663,37.7,17285.0,4081.0,23.6,6636,38.4,6568,38,80.0
13,2014.0,17718556.0,17331396.0,28337.0,220735.0,37182,100906.0,2014,17719.0,4195.0,23.7,6839,38.6,6684,37.7,17331.0,4098.0,23.6,6648,38.4,6585,38,101.0
14,2015.0,18458257.0,18097189.0,18427.0,208780.0,27984,105877.0,2015,18458.0,4094.0,22.2,7292,39.5,7072,38.3,18097.0,4012.0,22.2,7118,39.3,6968,38.5,68.0
15,2016.0,19219702.0,18855593.0,21556.0,192239.0,40195,110119.0,2016,19220.0,4224.0,22.0,7527,39.2,7468,38.9,18856.0,4136.0,21.9,7373,39.1,7347,39,3471.0
16,2017.0,20038307.0,19667804.0,29029.0,192107.0,46526,102841.0,2017,20038.0,4111.0,20.5,7931,39.6,7996,39.9,19668.0,4039.0,20.5,7756,39.4,7873,40,1644.0
17,2018.0,21171529.0,20770388.0,43458.0,197975.0,43630,116078.0,2018,21172.0,4180.0,19.7,8391,39.6,8600,40.6,20770.0,4099.0,19.7,8205,39.5,8466,40.8,1633.0
18,2019.0,22737500.0,22338855.0,51167.0,180583.0,48238,118657.0,2019,22738.0,4536.0,19.9,9200,40.5,9002,39.6,22339.0,4455.0,19.9,9014,40.4,8869,39.7,900.0
19,2020.0,23514241.0,23133501.0,43995.0,172866.0,47056,116823.0,2020,23514.0,4712.0,20.0,9433,40.1,9369,39.8,23134.0,4637.0,20.0,9257,40,9239,39.9,1801.0
20,2021.0,24921476.0,24509691.0,43774.0,195954.0,49016,123041.0,2021,24921.0,5021.0,20.1,9951,39.9,9949,39.9,24510.0,4945.0,20.2,9765,39.8,9799,40,1361.0
21,2022.0,26006971.0,25605479.0,38591.0,207483.0,49169,106249.0,2022,26007.0,5232.0,20.1,10369,39.9,10407,40,25605.0,5159.0,20.1,10185,39.8,10261,40.1,2136.0
22,2023.0,29316897.0,28880018.0,35407.0,224361.0,42429,134682.0,2023,29317.0,5856.0,20.0,11922,40.7,11539,39.4,28880.0,5771.0,20.0,11715,40.6,11394,39.5,761.0
